id,name,artist,popularity,duration_ms,album,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mood
4v2zzo3kQO0zSniW39Qc6b,Merci et Désolé,Ricard Paul,51,165666,Merci et Désolé,5/13/2022,0.318,0.0601,-28.7,0.0309,0.971,0.936,0.11,0.17,97.792,4,calm
6X4fTprmm1elJ6LPGXJEsP,Santolea,Xaverius Love,59,151250,Santolea,2/4/2022,0.49,0.0531,-27.898,0.0534,0.995,0.931,0.108,0.319,99.335,3,calm
5LIsR2QFLqxot9tX9huYwi,From Above,Albin Svensson,61,106013,Your Story,8/21/2022,0.382,0.0737,-26.048,0.0366,0.993,0.919,0.0965,0.294,94.112,4,calm
4k8AC9xUl0o7JG7qlVQBZi,Viva Valeriana,Anaëlle Mei,61,112046,Viva Valeriana,10/28/2022,0.38,0.00358,-29.373,0.0453,0.984,0.958,0.0825,0.115,66.831,4,calm
7LTVGmS15JBwO11pTS4ykt,Hammock,Vaughn Harrison,50,126144,Hammock,1/27/2023,0.244,0.0263,-30.297,0.0504,0.982,0.933,0.108,0.298,130.877,4,calm
37hUtRe16kZtSfUd9c33jv,Recovery Day,Hearth Mason,44,230823,Recovery Day,10/31/2022,0.324,0.00148,-33.739,0.0553,0.995,0.944,0.0901,0.244,68.649,3,calm
3RI7rnK1YgmyRcXq9pkMqQ,This Tender Appeal,Allysium,66,168498,This Tender Appeal,3/24/2023,0.435,0.0404,-26.262,0.0358,0.984,0.96,0.0952,0.193,95.929,4,calm
5c32g8ZBUZCClHDb545VQs,Briefly,Eirin Nordness,47,118500,Briefly,9/2/2022,0.412,0.00663,-25.666,0.0383,0.974,0.956,0.138,0.19,75.508,3,calm
6JdpCWPWaEtjVkFXuVgioj,Delicate,Thomas Erwin,53,103636,Delicate,2/10/2023,0.441,0.00323,-35.903,0.0436,0.995,0.944,0.0767,0.295,109.185,3,calm
6k4vTbYOi9pLZHaJYhBRu1,Taciturn,Julius Cuvier,56,179181,Taciturn,6/3/2022,0.423,0.0129,-28.281,0.0404,0.984,0.906,0.103,0.245,121.201,4,calm
4JIzLIwxXr6nwBqhsU2EOy,Zufrieden,antinode,44,156000,Midnight Improvisations // Tranquility,9/2/2022,0.251,0.00422,-34.795,0.0509,0.987,0.924,0.0682,0.0689,76.816,4,calm
7jUgBIVfc6C2YfFqFmETxz,Air from Air,Yasuo Zen,68,199428,Air from Air,3/3/2023,0.538,0.0101,-29.191,0.0363,0.995,0.942,0.088,0.481,68.322,4,calm
31euvr3EhfWo8GbsVVsQjy,Emergence,Cai Harrington,51,126579,Emergence,3/3/2023,0.389,0.025,-25.448,0.0504,0.994,0.945,0.112,0.327,78.064,4,calm
4A5LsjpZx6FTW4rf0IVTcF,Despoina,Bert Hearns,43,140416,Despoina,5/6/2022,0.384,0.0893,-30.439,0.0643,0.995,0.969,0.0998,0.206,75.499,4,calm
75Y41KT0PeczPom4iZFs87,Onyx,Brian Charlie,49,163488,Onyx,1/20/2023,0.462,0.0547,-25.84,0.0636,0.989,0.963,0.109,0.132,82.729,3,calm
45XxWtNAwclSQIBJDUVw6N,Closing Stages,Marius Notar,45,169624,Closing Stages,1/27/2023,0.269,0.0635,-34.556,0.0317,0.966,0.948,0.0973,0.31,165.884,3,calm
1g3qZv1GGqwMBrXzogTpTx,fields of forever - sleep rework,Chad Lawson,65,221702,fields of forever (sleep rework),2/17/2023,0.663,0.0132,-33.243,0.046,0.995,0.953,0.0887,0.327,120.107,4,calm
27vBoR2y5SuRtV2YgvgtS0,So Ro Lilleman,Sofia Runmon,46,94609,So Ro Lilleman,4/14/2023,0.553,0.00741,-27.727,0.0514,0.996,0.958,0.0837,0.359,135.907,4,calm
2MUBJrvs9yanwhD9HZnXUB,To Let Go,Anna Landström,60,146580,Light in the Mist,8/19/2022,0.453,0.0101,-30.496,0.0493,0.992,0.938,0.124,0.313,73.774,4,calm
0F8SuamdgugyK1UWMM2clz,A burnished stone,Luiza Schmidt,56,112717,A burnished stone,1/27/2023,0.266,0.019,-31.372,0.0364,0.993,0.906,0.115,0.215,72.583,4,calm
5aC8nrtrXpYfnhnRyG9LgI,A Part Of Us,Eirin Nordness,56,117610,A Part Of Us,3/31/2023,0.439,0.00241,-32.12,0.0442,0.992,0.966,0.107,0.604,136.725,4,calm
0kpHSnJTru2qYTk0WFDsyA,Fiume,Carluccio,67,140124,Fiume,3/10/2023,0.361,0.0649,-23.25,0.0281,0.984,0.933,0.111,0.354,77.486,4,calm
3SV20Qhy0Ttd1f8fIZQiUT,Muse,Ina Lawson,31,133375,Muse,4/28/2023,0.43,0.00699,-27.595,0.0447,0.993,0.953,0.105,0.19,76.73,1,calm
73NUBJWApOkAp9ioV8nI9O,Ha tudnád,Csizmazia Etel,40,135783,Ha tudnád,3/17/2023,0.551,0.0946,-22.759,0.0593,0.995,0.957,0.102,0.49,69.139,4,calm
6v7RGlk2l85VOzePfWmF8r,Three Stories It Must Tell,Sabrina Austin,40,141430,Three Stories It Must Tell,2/24/2023,0.418,0.0169,-30.613,0.0374,0.985,0.937,0.0961,0.182,67.389,3,calm
2FPuvgUV34THb0IzEBJvq6,I'll Be Dreaming,Daníel Fannar,40,103000,I'll Be Dreaming,3/24/2023,0.481,0.00615,-30.193,0.0422,0.995,0.952,0.111,0.527,66.083,4,calm
5J98e7zSY03xUczf2BbK6q,Manglar,Luna Bauer,43,141745,Manglar,3/12/2021,0.447,0.0498,-25.321,0.0374,0.995,0.943,0.105,0.174,78.91,4,calm
2YsCoCOAiyDziuyHATGgz6,Full Of Life,Hans Johansen,39,128199,Full Of Life,3/17/2023,0.611,0.0363,-24.127,0.0441,0.988,0.939,0.12,0.198,110.871,4,calm
235xEvc5AelB56CsNzYew3,Place to Remember,Rich Mortimer,40,98403,Place to Remember,4/28/2023,0.502,0.0823,-26.413,0.032,0.995,0.929,0.101,0.332,82.073,3,calm
4EQRrRdoQ8vC4ULe8Kygpw,If You Should Go,Nora Gray,64,127538,If You Should Go,1/20/2023,0.611,0.0126,-26.619,0.0671,0.996,0.94,0.107,0.263,68.395,4,calm
1arB0eICekrhg2CAj2bGfR,In Those Years,Ray Hutchcraft,55,140296,In Those Years,10/28/2022,0.476,0.0639,-26.901,0.0599,0.994,0.948,0.0941,0.495,64.52,4,calm
