id,name,artist,popularity,duration_ms,album,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mood
3NZJlJemX3mzjf56MqC5ML,Forever,Chris Brown,78,278573,Forever,4/29/2008,0.672,0.82,-4.456,0.0459,0.0368,0.000188,0.184,0.438,120.005,4,energetic
6BePGk3eCan4FqaW2X8Qy3,10:35,Tiësto,89,172252,10:35,11/3/2022,0.696,0.793,-5.733,0.097,0.0683,3.78E-06,0.18,0.698,120.003,4,energetic
3tyPOhuVnt5zd5kGfxbCyL,Where Have You Been,Rihanna,76,242680,Talk That Talk,11/19/2011,0.719,0.847,-6.34,0.0916,0.00201,0.0204,0.223,0.444,127.963,4,energetic
2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,Pitbull,82,229360,Globalization,11/21/2014,0.721,0.802,-5.797,0.0583,0.0921,0,0.694,0.724,124.022,4,energetic
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,87,214846,One Kiss (with Dua Lipa),4/6/2018,0.791,0.862,-3.24,0.11,0.037,2.19E-05,0.0814,0.592,123.994,4,energetic
190jyVPHYjAqEaOGmMzdyk,Beauty And A Beat,Justin Bieber,77,227986,Believe (Deluxe Edition),6/15/2012,0.602,0.843,-4.831,0.0593,0.000688,5.27E-05,0.0682,0.526,128.003,4,energetic
21RzyxY3EFaxVy6K4RqaU9,Body,Loud Luxury,77,163216,Body,10/27/2017,0.752,0.764,-4.399,0.038,0.0476,9.44E-05,0.0543,0.582,121.958,4,energetic
18asYwWugKjjsihZ0YvRxO,The Motto,Tiësto,84,164818,The Motto,11/4/2021,0.754,0.763,-4.627,0.0435,0.0301,2.23E-05,0.0901,0.464,117.953,4,energetic
4TsmezEQVSZNNPv5RJ65Ov,Pon de Replay,Rihanna,81,246960,Music Of The Sun,8/29/2005,0.779,0.64,-8.415,0.159,0.000155,0.00077,0.101,0.498,99.019,4,energetic
5YdnOm5990Kfq1Jodws98B,Call It Love,Felix Jaehn,83,154560,Call It Love,9/16/2022,0.616,0.841,-4.779,0.076,0.0559,0.00217,0.417,0.714,110.029,4,energetic
0k1qJaNhF5yTZvd4E8NgKL,Never Forget You,Zara Larsson,37,213427,So Good,3/17/2017,0.583,0.732,-5.728,0.0457,0.00312,9.86E-06,0.269,0.276,145.992,4,energetic
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),MEDUZA,78,167903,Paradise,10/30/2020,0.632,0.595,-7.644,0.0401,0.0689,0,0.209,0.435,124.114,4,energetic
1D2ZNECRd7KIlA4pyOUGsv,What Would You Do?,Joel Corry,71,174215,What Would You Do?,3/18/2022,0.687,0.895,-2.983,0.0474,0.149,0.00592,0.121,0.686,124.041,4,energetic
5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),ATB,78,150052,Your Love (9PM),1/15/2021,0.669,0.784,-5.603,0.112,0.194,6.28E-06,0.115,0.517,125.993,4,energetic
1vvNmPOiUuyCbgWmtc6yfm,My Way,Calvin Harris,79,219159,My Way,9/16/2016,0.818,0.913,-3.06,0.0426,0.093,3.69E-05,0.161,0.536,119.986,4,energetic
2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),Rihanna,83,235493,Loud (Japan Version),1/1/2010,0.789,0.706,-4.233,0.0429,0.112,1.71E-05,0.0586,0.638,125.911,4,energetic
48QmG1dfvMuYLxMPt7KSRA,No Lie,Sean Paul,83,221176,Mad Love The Prequel,6/29/2018,0.742,0.882,-2.862,0.117,0.0466,0,0.206,0.463,102.04,4,energetic
4kte3OcW800TPvOVgrLLj8,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,69,251626,R.E.D. (Deluxe Edition),1/1/2012,0.658,0.677,-6.628,0.0393,0.248,0,0.368,0.248,124.91,4,energetic
5TbzAWWc5eJaANpA9kfGCd,Love Me Again,John Newman,78,239894,Tribute,1/1/2013,0.495,0.894,-4.814,0.0441,0.00453,0.000596,0.103,0.213,126.03,4,energetic
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,94,175238,I'm Good (Blue),8/26/2022,0.561,0.965,-3.673,0.0343,0.00383,7.07E-06,0.371,0.304,128.04,4,energetic
6ic8OlLUNEATToEFU3xmaH,Gimme More,Britney Spears,81,251240,Blackout,10/25/2007,0.788,0.844,-3.131,0.0334,0.25,0.000678,0.0723,0.382,113.324,4,energetic
0siYMEsGrzzzlWLXK5zJfS,BED,Joel Corry,75,178087,BED,2/26/2021,0.671,0.782,-4.593,0.0341,0.0142,0.00221,0.333,0.618,123.989,4,energetic
