id,name,artist,popularity,duration_ms,album,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mood
5u4hhtZ7f4rWkMZEZcTKrH,Relax My Eyes,ANOTR,74,192150,Relax My Eyes,11/4/2022,0.747,0.616,-9.76,0.0324,0.176,0.116,0.143,0.908,131.975,4,happy
2cSdAkzAf2T4j4aLvx4LLz,Baby Girl,Disco Lines,78,111074,Baby Girl,6/15/2022,0.73,0.907,-3.72,0.0606,0.0921,0.114,0.23,0.249,120.968,4,happy
39JofJHEtg8I4fSyo7Imft,B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose,82,226626,B.O.T.A. (Baddest Of Them All),8/12/2022,0.736,0.906,-7.589,0.048,0.164,0.585,0.106,0.698,137.001,4,happy
2sLVs5iX0osogh4jcsAJkv,Danielle (smile on my face),Fred again..,68,201230,Danielle (smile on my face),9/14/2022,0.678,0.931,-5.813,0.0867,0.00159,0.0275,0.091,0.346,130.021,4,happy
40SBS57su9xLiE1WqkXOVr,Afraid To Feel,LF SYSTEM,81,177524,Afraid To Feel,5/2/2022,0.578,0.912,-3.929,0.114,0.0166,0.00362,0.273,0.68,127.87,4,happy
3nEHrvNNtgLv9rneTAYVr4,Heaven Takes You Home (feat. Connie Constance),Swedish House Mafia,78,214071,Paradise Again,4/15/2022,0.665,0.738,-5.931,0.0379,0.0124,0.00598,0.0923,0.0389,125.037,4,happy
7MIhUdNJtaOnDmC5nBC1fb,Deep Down (feat. Never Dull),Alok,82,165752,Deep Down (feat. Never Dull),6/17/2022,0.687,0.818,-4.221,0.0778,0.0112,0,0.248,0.886,125.952,4,happy
4iAADGCKIR9GkLGvAHfZUS,Beat Goes On (Rhythm to the Brain),Campbell,68,133212,Beat Goes On (Rhythm to the Brain),10/7/2022,0.821,0.781,-4.465,0.0397,0.00563,0.0191,0.0403,0.434,137.017,4,happy
587xXusqiMW9gSXkNK8Zxf,What A Life (feat. Stevie Appleton),John Summit,68,171547,What A Life (feat. Stevie Appleton),7/29/2022,0.677,0.732,-5.028,0.031,0.0113,0.227,0.0978,0.242,126.018,4,happy
0hJfuyUwtEYMlGgvr3nzz9,Serotonin Moonbeams,The Blessed Madonna,67,289471,Serotonin Moonbeams,11/11/2022,0.817,0.876,-7.485,0.046,0.0332,0.199,0.412,0.671,131.022,4,happy
4CUX44NA1CPEzd0ibMLQsL,Make Me Feel Good,Belters Only,68,197472,Make Me Feel Good,11/26/2021,0.773,0.74,-8.169,0.0386,0.0627,0.00183,0.0829,0.504,124.014,4,happy
46E2xeKBLrxS8hJ37Gq35G,Billie (loving arms),Fred again..,65,217265,Billie (loving arms),8/31/2021,0.648,0.775,-4.798,0.0694,0.0561,0,0.444,0.371,128.072,4,happy
0KG7XrgM20KEmJrKsyFDAm,Let You Go,Diplo,61,234374,Diplo,3/4/2022,0.584,0.955,-4.197,0.0507,0.101,0.00243,0.092,0.486,128.04,4,happy
1bgKMxPQU7JIZEhNsM1vFs,Words (feat. Zara Larsson),Alesso,82,142677,Words (feat. Zara Larsson),4/22/2022,0.739,0.586,-5.079,0.0472,0.0245,0.000252,0.308,0.444,124.026,4,happy
2LxdNADWier3MKTei8FbOY,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),Oliver Heldens,73,157205,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),5/6/2022,0.686,0.892,-3.186,0.0498,0.0577,7.11E-06,0.0838,0.752,126.03,4,happy
0L3XCv9i9IHs8cJEVhsJ3J,More Than A Woman - SG's Paradise Edit,Bee Gees,70,357936,More Than A Woman (SG's Paradise Edit),6/25/2021,0.679,0.762,-4.253,0.0316,0.00469,0.23,0.0446,0.511,105.407,4,happy
0W1jh3ExLv0nMvvmNJOBxh,How Long Have You Been Away?,kryptogram,50,208568,How Long Have You Been Away?,1/15/2021,0.806,0.753,-6.247,0.0534,0.031,0.5,0.0545,0.846,122.99,4,happy
5OLSGox6JVpAyEQuoSYRcs,Better Than This,John Summit,67,188160,Better Than This,5/28/2021,0.673,0.839,-6.787,0.0373,0.0177,0.416,0.126,0.24,125.03,4,happy
05QGJav2nGJ9qdQ3vG9A9t,Ask Me,Duck Sauce,60,193795,Ask Me / Mesmerize,3/5/2021,0.803,0.935,-4.915,0.032,0.0145,0.191,0.296,0.738,124.008,4,happy
5Zn95uMcSkg22ScxTEVmRz,The Hard Way,PNAU,65,183925,The Hard Way,3/10/2023,0.691,0.906,-4.459,0.169,0.072,0,0.297,0.653,119.985,4,happy
7uGpUhy4uf2UrHH7TyhM6C,Happy Music,Supershy,63,232625,Happy Music / Something on My Mind,4/8/2022,0.777,0.737,-5.86,0.0351,0.0421,0.379,0.0265,0.891,123.993,4,happy
2keTABWAcdVZxJ6j8iEy83,Just Can't Get Enough,Channel Tres,52,303124,Just Can't Get Enough,7/21/2022,0.758,0.873,-5.7,0.0595,0.0294,5.33E-05,0.747,0.579,121.003,4,happy
1ap4zdsBydWPSXJqDBqtNL,Like You Do,D.O.D,68,152224,Like You Do,9/30/2022,0.69,0.847,-4.565,0.0374,0.0145,0.041,0.0777,0.49,124.015,4,happy
1RF02Cf80mTaeNXG2P2boR,21 Reasons (feat. Ella Henderson),Nathan Dawe,81,155253,21 Reasons (feat. Ella Henderson),4/29/2022,0.621,0.785,-4.499,0.11,0.0165,5.92E-06,0.0512,0.779,123.96,4,happy
3JlHRjPt2TNB9h7VFf0im2,Weekends,Jonas Blue,78,127003,Weekends,2/3/2023,0.571,0.937,-3.365,0.033,0.0337,3.71E-05,0.212,0.607,148.979,4,happy
1Rnx52PUuhrLrj306hOZHb,Can't Get You out of My Head - Peggy Gou’s Midnight Remix,Kylie Minogue,63,271240,Can't Get You out of My Head (Peggy Gou’s Midnight Remix),5/19/2022,0.687,0.924,-7.324,0.0361,0.0707,0.228,0.046,0.931,126.018,4,happy
3sa06xVNmLLYIxdNNmVQN8,Where Did You Go? (feat. MNEK),Jax Jones,80,177689,Where Did You Go (feat. MNEK),2/4/2022,0.763,0.782,-4.541,0.0346,0.182,7.08E-06,0.293,0.502,127.034,4,happy
3FN7IJMnUMWZXDw08ix3ot,Stop This Flame - Celeste x MK,Celeste,64,203946,Stop This Flame (Celeste x MK),6/25/2021,0.692,0.846,-5.72,0.0559,0.0194,2.91E-05,0.324,0.827,124.007,4,happy
5MnmuLgPmsAFkmG5n85cna,Better (feat. Teddy Swims),MK,66,182462,Better (feat. Teddy Swims),7/15/2022,0.624,0.966,-3.155,0.041,0.0729,4.84E-06,0.181,0.758,124.984,4,happy
5krhFNgUcYHwXlNPJJYzFM,Tell Me Something Good,Ewan McVicar,65,249678,Tell Me Something Good,6/25/2021,0.812,0.796,-10.548,0.0356,0.00826,0.921,0.365,0.961,125.976,4,happy
5jOhS3S7vTj9yQ4UmEk8qj,The Music Began To Play,Mark Knight,63,145984,The Music Began To Play,8/12/2022,0.738,0.936,-3.451,0.219,0.00151,0.707,0.617,0.27,127.022,4,happy
5zA3gMIFlgnhNQj39GcTqE,Set Me Free,D.O.D,67,180638,Set Me Free,1/6/2023,0.683,0.977,-2.582,0.106,0.00372,0.0109,0.166,0.884,129.996,4,happy
4qtdkdTY1t3RmlmSbWykzR,Stay the Night,Sigala,71,171954,Stay the Night,5/20/2022,0.636,0.936,-2.65,0.0729,0.177,0,0.0879,0.415,124.034,4,happy
