id,name,artist,popularity,duration_ms,album,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mood
0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,86,176658,The Days / Nights,1/1/2014,0.527,0.835,-5.298,0.0433,0.0166,0,0.249,0.654,125.983,4,Energetic
3mWUqIz228lrdC5ZSkpjUG,THREAT,Rex Orange County,60,170793,THREAT,8/9/2022,0.674,0.403,-13.814,0.211,0.53,0.00446,0.111,0.618,117.946,4,Energetic
4QAac9ShKdaeadGibY9ehB,Let You Do This (with Buy Now),Salvatore Ganacci,52,202281,Culturally Appropriate,11/25/2022,0.747,0.712,-5.73,0.0651,0.0576,0.172,0.0833,0.327,124.008,4,Energetic
5ozhK7GvUKSNSr1LrclYM2,Forever And A Day - Diplo Remix,LP Giobbi,58,218053,Forever And A Day (Diplo Remix),10/25/2022,0.755,0.896,-7.18,0.119,0.0024,0.701,0.101,0.267,124.999,4,Energetic
6lYY2HktYKpV1pUamfRlU1,Messages from the Stars,The Rah Band,70,254080,Going Up,10/17/2008,0.649,0.821,-2.957,0.0329,0.0562,0.00271,0.318,0.698,113.489,4,Energetic
0D6e8vxL7nufsDROdWStM0,Notice Me,Jiubel,45,163278,Notice Me,7/22/2022,0.711,0.757,-5.823,0.0323,0.0747,0.000294,0.197,0.835,145.056,4,Energetic
6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,86,172626,Planet Her,6/25/2021,0.824,0.764,-4.175,0.0854,0.0888,0.00294,0.117,0.881,107.998,4,Energetic
4pZVubICwJqqNQzLudg3EK,might start singing,wuvv,60,126509,might start singing,3/30/2022,0.592,0.646,-7.731,0.0428,0.243,0.657,0.118,0.171,160.342,3,Energetic
2tMIzKu3vXQzvbDShxjbmu,Suenos Bravos,Bodysync,54,210440,Radio Active,4/15/2022,0.764,0.654,-8.372,0.0385,0.205,0.386,0.148,0.579,120.036,4,Energetic
5l1WE9G2e0sHxgFgz08wfF,22 and Confused,Johnny 2 Phones,45,123648,22 and Confused,10/15/2021,0.705,0.505,-9.575,0.0717,0.114,7.03E-06,0.138,0.711,80.974,4,Energetic
33ArLNq6JksceoJUONafnX,Those Eyes (feat. Griff Clawson),ARTY,46,162786,Those Eyes (feat. Griff Clawson),10/29/2021,0.729,0.82,-4.484,0.0431,0.0689,0.000186,0.408,0.843,118.093,4,Energetic
2BoPkeahovHxCSfmmlEl26,Let Me Love U,Baauer,57,189506,Let Me Love U,8/4/2022,0.725,0.824,-6.398,0.0445,0.00527,0.655,0.924,0.598,124.049,4,Energetic
1G9hDB1bmxz131N9svQ8pY,Satellite,Khalid,70,186514,Satellite,9/23/2022,0.741,0.73,-7.07,0.0349,0.0279,0.000264,0.0851,0.725,124.001,4,Energetic
6VcpaoEQRxc9wrAtYBqKwz,Payback (feat. Icona Pop),Cheat Codes,56,203411,Payback (feat. Icona Pop),3/4/2022,0.672,0.8,-4.919,0.0372,0.113,0.000302,0.132,0.8,118.013,4,Energetic
7ynlcugXrMR1QegulDdErn,wide eyed,JAWNY,46,214068,"It’s Never Fair, Always True",3/3/2023,0.68,0.742,-4.334,0.0652,0.0548,1.31E-06,0.0881,0.919,127.49,4,Energetic
5g8y52H5k4VuOuIS8eaaQ6,Messages from the Stars - Sped Up,The Rah Band,67,327428,Messages from the Stars (Sped Up),11/4/2022,0.627,0.718,-9.288,0.0334,0.033,0.586,0.0965,0.776,140.389,4,Energetic
0tIkUSA5njpsBaTAx3z25z,Better Than Gold,NCT DREAM,65,200746,Glitch Mode - The 2nd Album,3/28/2022,0.713,0.842,-3.225,0.0402,0.0526,0,0.0834,0.715,110.039,4,Energetic
