id,name,artist,popularity,duration_ms,album,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mood
3W5KHP0Yr56ejVDns9vci3,Wish You The Best,Lewis Capaldi,85,210880,Wish You The Best,4/14/2023,0.678,0.48,-3.607,0.0298,0.588,0,0.0954,0.49,107.934,4,sad
1odExI7RdWc4BT515LTAwj,Daylight,David Kushner,95,212953,Daylight,4/14/2023,0.508,0.43,-9.475,0.0335,0.83,0.000441,0.093,0.324,130.09,4,sad
0V9QY6NnXtAMwjltgMP0pl,Face in the Crowd,Freya Ridings,57,204503,Face in the Crowd,2/17/2023,0.445,0.232,-9.145,0.0294,0.886,3.31E-06,0.128,0.246,72.005,4,sad
1ei3hzQmrgealgRKFxIcWn,In The Stars,Benson Boone,84,216410,In The Stars,4/29/2022,0.362,0.54,-6.031,0.0528,0.338,0,0.139,0.3,78.007,3,sad
5aXfGM7WVcqyAvqnL7k0y3,Remember - Acoustic,Becky Hill,69,178626,Remember (Acoustic),7/9/2021,0.62,0.379,-8.675,0.0412,0.797,0,0.195,0.509,118.899,4,sad
4VtRHZ4tBDHaWltVAytlLY,go,Cat Burns,74,215000,go,7/31/2020,0.663,0.251,-9.87,0.0435,0.88,0,0.0932,0.528,90.272,4,sad
5hnGrTBaEsdukpDF6aZg8a,How Do I Say Goodbye,Dean Lewis,82,163603,How Do I Say Goodbye,8/31/2022,0.4,0.641,-6.303,0.0674,0.214,0,0.0656,0.393,81.552,4,sad
1Fid2jjqsHViMX6xNH70hE,Atlantis,Seafret,87,229173,Tell Me It's Real (Expanded Edition),1/29/2016,0.4,0.479,-7.989,0.0308,0.0529,2.14E-06,0.115,0.213,166.159,4,sad
7wB9sL81rFRGhRt6msZ9CV,How Could You,Jessie Murph,74,187813,drowning,2/10/2023,0.573,0.17,-10.576,0.0555,0.834,3.08E-06,0.108,0.28,146.749,3,sad
74eJR4gwG1ZmG4BFkbrOlA,Life Goes On,Ed Sheeran,42,210208,#NAME?,5/5/2023,0.629,0.312,-7.609,0.0318,0.813,0,0.169,0.456,77.044,4,sad
22UYp7aAy1XmIYZ1GsnJuB,Part Of Me,Cian Ducrot,71,202193,Part Of Me,3/31/2023,0.637,0.513,-6.797,0.0367,0.518,0,0.124,0.234,141.907,4,sad
3J2k478GV4E9GbFzN7ndgv,Fat Funny Friend (sadder),Maddie Zahm,62,202319,Fat Funny Friend (sadder),3/18/2022,0.547,0.222,-8.709,0.0458,0.962,9.31E-05,0.101,0.528,106.28,4,sad
7l97ElWmIdVHWUaOeeU5ZC,that way,Tate McRae,78,175026,all the things i never said,1/24/2020,0.453,0.383,-11.015,0.163,0.728,0,0.387,0.333,105.029,4,sad
0otRX6Z89qKkHkQ9OqJpKt,Car's Outside,James Arthur,85,248373,YOU,10/18/2019,0.338,0.562,-7.181,0.029,0.039,0,0.107,0.259,149.907,4,sad
4nyF5lmSziBAt7ESAUjpbx,"I miss you, I’m sorry",Gracie Abrams,79,167538,minor,7/14/2020,0.445,0.455,-6.405,0.0575,0.731,1.47E-06,0.124,0.151,109.885,5,sad
7slfeXbuzr9RYXX6XS6Npi,Before You Go - Piano Version,Lewis Capaldi,61,218768,Before You Go (Piano Version),12/16/2019,0.467,0.359,-6.892,0.0815,0.843,0,0.0913,0.21,173.318,3,sad
7djOJmSvxXtq0Q49iC9qsX,Last Train To London,Mimi Webb,60,227924,Amelia,3/2/2023,0.554,0.326,-7.085,0.0299,0.697,0,0.0876,0.278,71.267,4,sad
7F9TZ2RT8rdVyzLFmfagiR,Little Runaway,Benson Boone,30,195277,PULSE,5/5/2023,0.546,0.442,-6.541,0.0286,0.24,0,0.122,0.323,89.019,4,sad
4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,88,198040,Kid Krow,3/20/2020,0.357,0.425,-7.301,0.0333,0.584,0,0.322,0.27,102.078,3,sad
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,90,233720,Safe Haven,5/5/2017,0.609,0.692,-2.958,0.0259,0.0157,0,0.0864,0.454,116.959,3,sad
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,92,244360,Long Way Down (Deluxe),6/24/2013,0.445,0.537,-8.532,0.04,0.695,1.65E-05,0.0944,0.131,122.769,4,sad
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,d4vd,91,132630,Romantic Homicide,7/20/2022,0.571,0.544,-10.613,0.0299,0.453,0.00805,0.322,0.216,132.052,4,sad
2VFetGqLYq0Pc8ZtRYCaeL,In The Kitchen,Reneé Rapp,70,227749,Everything To Everyone,11/11/2022,0.364,0.294,-6.578,0.0504,0.833,0,0.264,0.125,79.477,3,sad
21uFPefbgeR3QLVJWATlrr,Scott Street,Phoebe Bridgers,75,305000,Stranger in the Alps (Deluxe Edition),10/2/2018,0.508,0.417,-9.632,0.0296,0.77,0.0928,0.0887,0.483,134.944,4,sad
4IhTXiZLKATmwhMZIb1GQN,Lights Are On,Tom Rosenthal,80,193749,Z-Sides,10/26/2018,0.44,0.04,-16.887,0.0322,0.981,0.465,0.111,0.249,135.965,4,sad
7CiDwKE62N6ey3LyG6s7xc,In My Room,Chance Peña,80,177609,In My Room,5/6/2022,0.408,0.338,-13.626,0.0431,0.521,0.000639,0.0732,0.1,133.943,3,sad
0HRshWRNAwQBROvxXqG3i9,Skinny Love,Birdy,61,201080,Birdy (Deluxe Version),11/4/2011,0.379,0.29,-8.485,0.051,0.952,0.00106,0.118,0.169,166.467,4,sad
7KKamdf8oLVz1eFcNRjvnq,we'll be fine,Luz,57,262960,we'll be fine,6/19/2020,0.563,0.382,-11.138,0.0404,0.748,0,0.0714,0.197,120.802,4,sad
7dDrR6vMK1JAwZZ5MIWgme,birthday cake,Dylan Conrique,74,205280,birthday cake,2/2/2022,0.436,0.255,-8.623,0.0364,0.955,3.28E-05,0.106,0.15,113.265,4,sad
24dotUzOINUEH3iTUlhDXX,When I Get There,P!nk,69,200173,TRUSTFALL,2/17/2023,0.562,0.403,-5.441,0.0361,0.78,0,0.094,0.548,82.518,4,sad
5rKMN0bKdqcGWo1iLvv30Y,Best Friend Breakup,Lauren Spencer Smith,71,141060,Best Friend Breakup,2/10/2023,0.467,0.573,-5.009,0.23,0.203,1.09E-06,0.102,0.56,88.675,3,sad
2NbsBSshscKIPRG3kwBbfo,Never Felt So Alone,Labrinth,89,160166,Never Felt So Alone,4/7/2023,0.436,0.409,-4.438,0.0533,0.499,0.000166,0.38,0.363,98.357,3,sad
0gOz9JUXsaKVzLTSmFDtdo,A Soulmate Who Wasn’t Meant to Be,Jess Benko,69,316556,"Do You Love Me, or Are You Just Lonely?",7/19/2019,0.571,0.0274,-20.274,0.0649,0.948,6.43E-06,0.322,0.087,124.209,3,sad
2qLyo5FeWquE7HBUbcVnEy,emails i can’t send,Sabrina Carpenter,70,104408,emails i can't send,7/15/2022,0.515,0.387,-10.614,0.192,0.757,0,0.622,0.408,86.313,3,sad
0JIhRhZPF5j5dx0FGqTWxy,I'll Be Waiting,Cian Ducrot,80,172547,I'll Be Waiting (Sad At Christmas),11/9/2022,0.509,0.619,-4.102,0.0391,0.355,0,0.0739,0.544,155.955,4,sad
